fecha,decesos
31/12/2019,0
01/01/2020,0
02/01/2020,0
03/01/2020,0
04/01/2020,0
05/01/2020,0
06/01/2020,0
07/01/2020,0
08/01/2020,0
09/01/2020,0
10/01/2020,0
11/01/2020,0
12/01/2020,0
13/01/2020,0
14/01/2020,0
15/01/2020,0
16/01/2020,0
17/01/2020,0
18/01/2020,0
19/01/2020,0
20/01/2020,0
21/01/2020,0
22/01/2020,0
23/01/2020,0
24/01/2020,0
25/01/2020,0
26/01/2020,0
27/01/2020,0
28/01/2020,0
29/01/2020,0
30/01/2020,0
31/01/2020,0
01/02/2020,0
02/02/2020,0
03/02/2020,0
04/02/2020,0
05/02/2020,0
06/02/2020,0
07/02/2020,0
08/02/2020,0
09/02/2020,0
10/02/2020,0
11/02/2020,0
12/02/2020,0
13/02/2020,0
14/02/2020,0
15/02/2020,0
16/02/2020,0
17/02/2020,0
18/02/2020,0
19/02/2020,0
20/02/2020,0
21/02/2020,0
22/02/2020,0
23/02/2020,0
24/02/2020,0
25/02/2020,0
26/02/2020,0
27/02/2020,0
28/02/2020,0
29/02/2020,0
01/03/2020,0
02/03/2020,0
09/03/2020,0
12/03/2020,0
13/03/2020,0
14/03/2020,0
15/03/2020,0
16/03/2020,0
17/03/2020,0
18/03/2020,0
19/03/2020,0
20/03/2020,0
21/03/2020,2
22/03/2020,0
23/03/2020,0
24/03/2020,2
25/03/2020,1
26/03/2020,0
27/03/2020,3
28/03/2020,4
29/03/2020,4
30/03/2020,4
31/03/2020,8
01/04/2020,1
02/04/2020,8
03/04/2020,13
04/04/2020,10
05/04/2020,19
06/04/2020,15
07/04/2020,31
08/04/2020,16
09/04/2020,33
10/04/2020,20
11/04/2020,39
12/04/2020,40
13/04/2020,23
14/04/2020,36
15/04/2020,74
16/04/2020,43
17/04/2020,37
18/04/2020,60
19/04/2020,104
20/04/2020,36
21/04/2020,26
22/04/2020,145
23/04/2020,113
24/04/2020,99
25/04/2020,152
26/04/2020,84
27/04/2020,46
28/04/2020,83
29/04/2020,135
30/04/2020,163
01/05/2020,127
02/05/2020,113
03/05/2020,89
04/05/2020,93
05/05/2020,117
06/05/2020,236
07/05/2020,197
08/05/2020,257
09/05/2020,199
10/05/2020,193
11/05/2020,112
12/05/2020,108
13/05/2020,353
14/05/2020,294
15/05/2020,257
16/05/2020,290
17/05/2020,278
18/05/2020,132
19/05/2020,155
20/05/2020,334
21/05/2020,424
22/05/2020,420
23/05/2020,479
24/05/2020,190
25/05/2020,215
26/05/2020,239
27/05/2020,501
28/05/2020,463
29/05/2020,447
30/05/2020,371
31/05/2020,364
01/06/2020,151
02/06/2020,237
03/06/2020,470
04/06/2020,1091
05/06/2020,817
06/06/2020,625
07/06/2020,341
08/06/2020,188
09/06/2020,354
10/06/2020,596
11/06/2020,708
12/06/2020,587
13/06/2020,504
14/06/2020,424
15/06/2020,269
16/06/2020,439
17/06/2020,730
18/06/2020,770
19/06/2020,667
20/06/2020,647
21/06/2020,387
22/06/2020,1044
23/06/2020,759
24/06/2020,793
25/06/2020,965
26/06/2020,718
27/06/2020,719
28/06/2020,602
29/06/2020,267
30/06/2020,473
01/07/2020,648
02/07/2020,741
03/07/2020,679
04/07/2020,654
05/07/2020,523
06/07/2020,273
07/07/2020,480
08/07/2020,895
09/07/2020,782
10/07/2020,730
11/07/2020,665
12/07/2020,539
13/07/2020,276
14/07/2020,443
15/07/2020,878
16/07/2020,579
