"","x","y"
"1",1,0
"2",2,2
"3",3,0
"4",4,0
"5",5,2
"6",6,1
"7",7,0
"8",8,3
"9",9,4
"10",10,4
"11",11,4
"12",12,8
"13",13,1
"14",14,8
"15",15,13
"16",16,10
"17",17,19
"18",18,15
"19",19,31
"20",20,16
"21",21,33
"22",22,20
"23",23,39
"24",24,40
"25",25,23
"26",26,36
"27",27,74
"28",28,43
"29",29,37
"30",30,60
"31",31,104
"32",32,36
"33",33,26
"34",34,145
"35",35,113
"36",36,99
"37",37,152
"38",38,84
"39",39,46
"40",40,83
"41",41,135
"42",42,163
"43",43,127
"44",44,113
"45",45,89
"46",46,93
"47",47,117
"48",48,236
"49",49,197
"50",50,257
"51",51,199
"52",52,193
"53",53,112
"54",54,108
"55",55,353
"56",56,294
"57",57,257
"58",58,290
"59",59,278
"60",60,132
"61",61,155
"62",62,334
"63",63,424
"64",64,420
"65",65,479
"66",66,190
"67",67,215
"68",68,239
"69",69,501
"70",70,463
"71",71,447
"72",72,371
"73",73,364
"74",74,151
"75",75,237
"76",76,470
"77",77,1091
"78",78,817
"79",79,625
"80",80,341
"81",81,188
"82",82,354
"83",83,596
"84",84,708
"85",85,587
"86",86,504
"87",87,424
"88",88,269
"89",89,439
"90",90,730
"91",91,770
"92",92,667
"93",93,647
"94",94,387
"95",95,1044
"96",96,759
"97",97,793
"98",98,965
"99",99,718
"100",100,719
"101",101,602
"102",102,267
"103",103,473
"104",104,648
"105",105,741
"106",106,679
"107",107,654
"108",108,523
"109",109,273
"110",110,480
"111",111,895
"112",112,782
"113",113,730
"114",114,665
"115",115,539
"116",116,276
"117",117,443
"118",118,878
"119",119,579
